component	package	version	filename	url	sha256	size	extract_regex
libcuml	libcuml-cu13	26.6.0	libcuml_cu13-26.6.0-py3-none-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl	https://files.pythonhosted.org/packages/04/7f/0e1e8b2d57ae56680a1af3b3ccd7d6cbbb4fa48ab5f967cbf54161eb0057/libcuml_cu13-26.6.0-py3-none-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl	827ff6e85831536c6940f772f95718012194c63a4cdb78df7421de434bd1f719	253071721	^libcuml/lib64/libcuml[.]so$|^libcuml_cu13[.]libs/libgomp-[^/]+[.]so[.]1[.]0[.]0$
libnvforest	libnvforest-cu13	26.6.0	libnvforest_cu13-26.6.0-py3-none-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl	https://files.pythonhosted.org/packages/5a/e5/10817eac1673eca428c8766bb958122f8925b169fa9e73371c6b49df702f/libnvforest_cu13-26.6.0-py3-none-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl	5ff5b0d2d9f9ac3ead6e7b2633ed10ac0095fc5b79c6d3f82450e5b89c951dc0	25701189	^libnvforest/lib64/libnvforest[+][+][.]so$
libraft	libraft-cu13	26.6.0	libraft_cu13-26.6.0-py3-none-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl	https://files.pythonhosted.org/packages/0f/91/0b8e2ea9795ad89b6f3ee477f44aef7e3c2c3f0bdc36e2c591fc1265dbf2/libraft_cu13-26.6.0-py3-none-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl	945d3e40adb3d47f5dade5fe7819d1331b6ed9e22799cbcb215281946f94b858	17810654	^libraft/lib64/libraft[.]so$
librmm	librmm-cu13	26.6.0	librmm_cu13-26.6.0-py3-none-manylinux_2_24_x86_64.manylinux_2_28_x86_64.whl	https://files.pythonhosted.org/packages/54/56/6523f25d876914c8490bfe1319207b628250e092b71a8a5445ef9fe94f45/librmm_cu13-26.6.0-py3-none-manylinux_2_24_x86_64.manylinux_2_28_x86_64.whl	58dd98261f74ed0df523a93c063d182b8f1a8ee6b8afb46566e08f8829f28e13	4470751	^librmm/lib64/librmm[.]so$
cublas	nvidia-cublas	13.4.1.3	nvidia_cublas-13.4.1.3-py3-none-manylinux_2_27_x86_64.whl	https://files.pythonhosted.org/packages/e1/97/d483a41da34df5c88727c57319576967f6d7befba5028d70928d2999635e/nvidia_cublas-13.4.1.3-py3-none-manylinux_2_27_x86_64.whl	a5917cb642cfb07f4a0231ee16aec7e2e0357d8cb8b1b78a0c9c68dba3e6afc7	404870805	^nvidia/cu13/lib/libcublas(Lt)?[.]so[.]13$
nvrtc	nvidia-cuda-nvrtc	13.2.86	nvidia_cuda_nvrtc-13.2.86-py3-none-manylinux2010_x86_64.manylinux_2_12_x86_64.whl	https://files.pythonhosted.org/packages/1e/39/c58835ec8392a91b8d7bad83760eafc3085f64788b722ec2b44a27b3ca3e/nvidia_cuda_nvrtc-13.2.86-py3-none-manylinux2010_x86_64.manylinux_2_12_x86_64.whl	8111c5130e967b78222ea2124145f8efe9ce201b752b2579a2513100a53be1c5	47018468	^nvidia/cu13/lib/libnvrtc(-builtins)?[.]so[.]13([.]2)?$
cudart	nvidia-cuda-runtime	13.2.86	nvidia_cuda_runtime-13.2.86-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl	https://files.pythonhosted.org/packages/70/c6/8f8c5e893d183082ea78f973aebc7ebc845ee219d68bddac73b0f62490fe/nvidia_cuda_runtime-13.2.86-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl	3498247680dfddce31bad102af7e3e26fc795342a3cac64722bb0fa95e7f60f0	2323576	^nvidia/cu13/lib/libcudart[.]so[.]13$
cufft	nvidia-cufft	12.2.0.57	nvidia_cufft-12.2.0.57-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl	https://files.pythonhosted.org/packages/41/28/868ed0c6ade5e6a75b25166b3cf191f4a2ff58ad618c1e40befb776c97c5/nvidia_cufft-12.2.0.57-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl	34da27fadf3979b0b042c43823f0530be8408b86df31ee0108e1ca0b621d4ef6	218258101	^nvidia/cu13/lib/libcufft[.]so[.]12$
curand	nvidia-curand	10.4.2.66	nvidia_curand-10.4.2.66-py3-none-manylinux_2_27_x86_64.whl	https://files.pythonhosted.org/packages/c9/ca/9701cd19be422d6c1e1a1473c89b20c88c97a53be9cda3afd9627b482427/nvidia_curand-10.4.2.66-py3-none-manylinux_2_27_x86_64.whl	9bb3796a2f6223454b2e326e3d7572c1500cfa4d629de827676b4eeecd30ab0c	59954122	^nvidia/cu13/lib/libcurand[.]so[.]10$
cusolver	nvidia-cusolver	12.2.0.11	nvidia_cusolver-12.2.0.11-py3-none-manylinux_2_27_x86_64.whl	https://files.pythonhosted.org/packages/e4/a4/90f7ade9992190788658c3c285f196fdb9bcc3a5bb93a325c245121d22fd/nvidia_cusolver-12.2.0.11-py3-none-manylinux_2_27_x86_64.whl	fab5778f6769947389a1a6abc07e635576825a08c0ffc68c3ae7f1392c794b42	227913465	^nvidia/cu13/lib/libcusolver[.]so[.]12$
